nama_pemilik_perusahaan,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan,latitude,longitude
PT. PERTAMINA RETAIL,01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-10202,,JP/160/2008/I,Jakarta Pusat,Petojo Selatan,Gambir,64/2014,6/2/2014,,PJ/Selama Masih Beroperasi,-6.1775817,106.8176957
PT. PERTAMINA RETAIL,01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-10303,,JP/236/2008/I,Jakarta Pusat,Cikini,Menteng,65/2014,6/2/2014,,PJ/Selama Masih Beroperasi,-6.1956694,106.8390739
PT. PERTAMINA RETAIL,,,Pertamina,SPBU,31-10701,,JP/187/2008/II/P,Jakarta Pusat,Gunung Sahari Utara,Sawah Besar,406/2008,6/23/2008,6/23/2010,Expired,-6.1406568,106.8249946
PT. PERTAMINA (Persero),01.001.664.0-051.000,,Pertamina,SPBU,31-10703,2011,JP/313/2011/I,Jakarta Pusat,Kartini,Sawah Besar,129/2011,10/28/2011,,BR/Selama Masih Beroperasi,-6.1481951,106.8288998
PT. MAGENDRA SHATRA PRATAMA,,,Pertamina,SPBU,34-10201,,,Jakarta Pusat,Tanah Abang,Tanah Abang,113/2009,8/18/2009,8/18/2010,Expired,-6.2025075,106.8040366
PT. SGS MAJU MANDIRI,,,Pertamina,SPBU,34-10203,,JP/034/2007/II,Jakarta Pusat,Kebon Melati,Tanah Abang,240/2007,5/10/2007,5/10/2012,Expired,-6.1997647,106.8078009
CV. VIRGO SARANA PRAKARSA (Ex. Drs. H. Eko Wuryanto),,Drs. H. Eko Wuryanto,Pertamina,SPBU,34-10401,,JP/080/2008/II/P,Jakarta Pusat,Kwitang,Senen,109/2012,12/11/2012,,PJ/Selama Masih Beroperasi,-6.1850122,106.8414152
PT. EL-HAKIM BERSAUDARA (Ex. Elidar Sofyanti),,Ny. Elidar S,Pertamina,SPBU,34-10501,,JP/037/2007/II,Jakarta Pusat,Rawasari,Cempaka Putih,65/2012,8/10/2012,,PJ/Selama Masih Beroperasi,-6.1924019,106.8628747
PT. KARUNIA CIPTA PERSADA (Ex. Ny. Atiek Soeparto HS),,,Pertamina,SPBU,34-10502,1986,JP/145/2008/II/P,Jakarta Pusat,Cempaka Putih Barat,Cempaka Putih,Feb-12,1/17/2012,,PJ/Selama Masih Beroperasi,-6.1730251,106.8597058
H. ZAINUDIN HASAN,,,Pertamina,SPBU,34-10504,1999,JP/189/2008/II/P,Jakarta Pusat,Rawasari,Cempaka Putih,142/2009,10/29/2009,10/29/2010,Expired,-6.2057706,",106.723226"
PT. SINAR PEDOMAN ABADI,,Anggoro S,Pertamina,SPBU,34-10505,,JP/022/2006/II,Jakarta Pusat,Tanah Tinggi,Johar Baru,54/2012,7/12/2012,,PJ/Selama Masih Beroperasi,-6.1752323,106.8461315
PT. MAGENDRA SHATRA PRATAMA,,,Pertamina,SPBU,34-10506,,JP/231/2008/II,Jakarta Pusat,Galur,Johar Baru,652/2008,10/22/2008,10/22/2013,Expired,-6.17508,106.8500635
PT. GREGITAN DINAMIKA,,,Pertamina,SPBU,34-10507,,JP/307/2011/II,Jakarta Pusat,Cempaka Putih Timur,Cempaka Putih,114/2011,8/25/2011,8/25/2016,Baru,-6.1760528,106.8655424
H. M. PRANANDA P SURA MKD,,,Pertamina,SPBU,34-10603,2001,JP/169/2008/II/P,Jakarta Pusat,Gunung Sahari Utara,Sawah Besar,151/2009,11/24/2009,11/24/2010,Tidak Beroperasi,-6.148758,106.8327751
PT. SINAR PEDOMAN ABADI,,,Pertamina,SPBU,34-10604,,JP/035/2007/III,Jakarta Pusat,Kemayoran,Kemayoran,241/2007,5/10/2007,5/10/2012,Expired,-6.1677589,106.84049
PT. USAHA NUR ABADI (Ex. Ny. Alawiyah Bawazir),,,Pertamina,SPBU,34-10701,,JP/105/2008/II/P,Jakarta Pusat,Kebon Kelapa,Gambir,Oct-10,1/25/2010,1/25/2015,Perpanjangan,-6.2024762,106.8039614
PT. NURATI JAYA,,,Pertamina,SPBU,34-10702,1996,JP/141/2008/II/P,Jakarta Pusat,Mangga Dua Selatan,Sawah Besar,42/2011,4/4/2011,4/4/2016,Perpanjangan,-6.1406568,106.825